docid,label,url,author,title,year,abstract,combined_text,language
1883353,"Lisa Chauvet, Emmanuelle Lavallée, Camille Saint Macary, Sandrine Mesplé-Somps. Third DIAL Conference on Barriers to Development. The Journal of Development Studies, 2018, &#x27E8;10.1080/00220388.2018.1499896&#x27E9;. &#x27E8;hal-01883353&#x27E9;",https://hal.science/hal-01883353,"Lisa Chauvet, Emmanuelle Lavallée, Camille Saint Macary, Sandrine Mesplé-Somps",Third DIAL Conference on Barriers to Development,2018,,Third DIAL Conference on Barriers to Development ,en
1840241,"Joachim Jarreau, Anda David. Migrating out of a crowded labor market: evidence from Egypt. IZA Journal of Development and Migration, 2017, 7 (1), &#x27E8;10.1186/s40176-017-0092-4&#x27E9;. &#x27E8;hal-01840241&#x27E9;",https://hal.science/hal-01840241,"Joachim Jarreau, Anda David",Migrating out of a crowded labor market: evidence from Egypt,2017,"We analyze the determinants of emigration at the individual and household level, using three waves of the Egyptian labor market panel survey (ELMPS) covering the 1998–2012 period. Exploiting the panel structure of the data allows us to reduce the risk of reverse causality and to estimate the effect of migrant networks more accurately than in studies based on cross-sectional data. We confirm, in the Egyptian context, the non-linear relationship between household resources and migration propensity, due to migration costs; a larger network of past emigrants from the same community mitigates this selection on wealth, increasing the propensity to migrate among poorer households. We also show that unemployment and informal employment act as incentives to emigrate, suggesting that the scarcity of quality jobs, in particular on the skilled labor market, is one important driver of emigration flows in Egypt. However, these incentives turn into effective migration only in communities with a sufficiently large network of past migrants.","Migrating out of a crowded labor market: evidence from Egypt We analyze the determinants of emigration at the individual and household level, using three waves of the Egyptian labor market panel survey (ELMPS) covering the 1998–2012 period. Exploiting the panel structure of the data allows us to reduce the risk of reverse causality and to estimate the effect of migrant networks more accurately than in studies based on cross-sectional data. We confirm, in the Egyptian context, the non-linear relationship between household resources and migration propensity, due to migration costs; a larger network of past emigrants from the same community mitigates this selection on wealth, increasing the propensity to migrate among poorer households. We also show that unemployment and informal employment act as incentives to emigrate, suggesting that the scarcity of quality jobs, in particular on the skilled labor market, is one important driver of emigration flows in Egypt. However, these incentives turn into effective migration only in communities with a sufficiently large network of past migrants.",en
2429528,"David Alary, Franck Bien. Assurance santé et franchise. Risques, 2007, 72. &#x27E8;hal-02429528&#x27E9;",https://hal.science/hal-02429528,"David Alary, Franck Bien",Assurance santé et franchise,2007,,Assurance santé et franchise ,fr
4389811,"Jean-Pierre Cling, Denis Cogneau, Jacques Loup, Jean-David Naudet, Mireille Razafindrakoto, et al.. L'égalité des chances: un nouveau défi pour le développement ?. L'Économie politique, 2006, 30 (2), pp.21. &#x27E8;10.3917/leco.030.0021&#x27E9;. &#x27E8;hal-04389811&#x27E9;",https://hal.science/hal-04389811,"Jean-Pierre Cling, Denis Cogneau, Jacques Loup, Jean-David Naudet, Mireille Razafindrakoto, ",L'égalité des chances: un nouveau défi pour le développement ?,2006,,L'égalité des chances: un nouveau défi pour le développement ? ,fr
1935787,"Philippe de Vreyer, Björn Nilsson. When solidarity fails: Heterogeneous effects on children from adult deaths in Senegalese households. World Development, 2019, 114, &#x27E8;10.1016/j.worlddev.2018.09.018&#x27E9;. &#x27E8;hal-01935787&#x27E9;",https://hal.science/hal-01935787,"Philippe de Vreyer, Björn Nilsson",When solidarity fails: Heterogeneous effects on children from adult deaths in Senegalese households,2019,"The consequences of orphanhood have been an important topic on the research agenda in recent years, particularly against the backdrop of the AIDS epidemic in Sub-Saharan Africa. Previous literature has highlighted negative effects on children from prime-age adult deaths in the household. Some authors have however pointed out that the effects are small, possibly as a result of well-functioning coping mechanisms prevailing in the region. Furthermore, previous literature has not focused on the role of household living and budgetary arrangements. In this article, we investigate the links between deaths in the household and subsequent economic outcomes of children. Exploiting an unusually rich dataset from Senegal that permits us to precisely identify the main caregiver of a given child in the household, we test whether impacts on children differ according to their relationship with the deceased. We find robust evidence that this is the case: deaths in the household are not associated with diminished school presence for those children who are not under the direct responsibility of the deceased. They however have a strong significantnegative effect for those children who are. On the basis of our results, which include effects on child labor, we argue that in large and complex households, intra-household inequality in access to resources are an essential part of the story that may well lead to a heterogeneous absorption of shocks among family members. As such, there may be important limits to African informal safety nets.","When solidarity fails: Heterogeneous effects on children from adult deaths in Senegalese households The consequences of orphanhood have been an important topic on the research agenda in recent years, particularly against the backdrop of the AIDS epidemic in Sub-Saharan Africa. Previous literature has highlighted negative effects on children from prime-age adult deaths in the household. Some authors have however pointed out that the effects are small, possibly as a result of well-functioning coping mechanisms prevailing in the region. Furthermore, previous literature has not focused on the role of household living and budgetary arrangements. In this article, we investigate the links between deaths in the household and subsequent economic outcomes of children. Exploiting an unusually rich dataset from Senegal that permits us to precisely identify the main caregiver of a given child in the household, we test whether impacts on children differ according to their relationship with the deceased. We find robust evidence that this is the case: deaths in the household are not associated with diminished school presence for those children who are not under the direct responsibility of the deceased. They however have a strong significantnegative effect for those children who are. On the basis of our results, which include effects on child labor, we argue that in large and complex households, intra-household inequality in access to resources are an essential part of the story that may well lead to a heterogeneous absorption of shocks among family members. As such, there may be important limits to African informal safety nets.",en
1649958,"Emmanuelle Lavallée. Stéphane B. Enguéléguélé. États, corruption et blanchiment. Sénégal-Cameroun.. Afrique Contemporaine, 2015, 4 (256), &#x27E8;10.3917/afco.256.0161&#x27E9;. &#x27E8;hal-01649958&#x27E9;",https://hal.science/hal-01649958,Emmanuelle Lavallée,Stéphane B,2015,,Stéphane B ,fr
2909403,"Lisa Chauvet, P. Guillaumont, M. Boussichas, L. Wagner. Global aid flows to the least developed countries : what effectiveness of the aid target ?. Guillaumont, P. (ed.). Out of the trap : supporting the least developed countries, Economica, p. 103-139, 2019, 278717871005. &#x27E8;hal-02909403&#x27E9;",https://hal.science/hal-02909403,"Lisa Chauvet, P","Guillaumont, M",2019,,"Guillaumont, M ",fr
1374358,"Philippe de Vreyer, Nathalie Guilbert, Sandrine Mesplé-Somps. Impact of Natural Disasters on Education Outcomes: Evidence from the 1987-1989 Locust Plague in Mali. Journal of African Economies, 2015, 24 (1), &#x27E8;10.1093/jae/eju018&#x27E9;. &#x27E8;hal-01374358&#x27E9;",https://hal.science/hal-01374358,"Philippe de Vreyer, Nathalie Guilbert, Sandrine Mesplé-Somps",Impact of Natural Disasters on Education Outcomes: Evidence from the 1987-1989 Locust Plague in Mali,2015,"This paper estimates the long-run impact of a large income shock based on regional variations in the 1987–89 locust plague in Mali. We take comprehensive population census data to construct birth cohorts of individuals and compare those born and living in the years and villages affected by locust plagues with other cohorts. We ﬁnd a clear, strong impact on the educational outcomes of children living in rural areas, but no impact at all on children living in urban areas. School enrolment by boys born or lessthan four at the time of shock is found to be affected. School enrolmentbyboysbornin1987–88,themaininfestationyears,isfoundtobehardesthitby theplagues.However,although theimpact onschoolenrolment ﬁguresisgreaterfor boys than girls, the educational attainments of girls attending school and living in ruralareasareharderhitthantheboys.Ourcontrolsforindividuals’potentiallyselective migration behaviour and for differences in school infrastructures do nothing to change our results. Our ﬁndings are also robust to controls for age misreporting and variations in the cohort cut-off point.","Impact of Natural Disasters on Education Outcomes: Evidence from the 1987-1989 Locust Plague in Mali This paper estimates the long-run impact of a large income shock based on regional variations in the 1987–89 locust plague in Mali. We take comprehensive population census data to construct birth cohorts of individuals and compare those born and living in the years and villages affected by locust plagues with other cohorts. We ﬁnd a clear, strong impact on the educational outcomes of children living in rural areas, but no impact at all on children living in urban areas. School enrolment by boys born or lessthan four at the time of shock is found to be affected. School enrolmentbyboysbornin1987–88,themaininfestationyears,isfoundtobehardesthitby theplagues.However,although theimpact onschoolenrolment ﬁguresisgreaterfor boys than girls, the educational attainments of girls attending school and living in ruralareasareharderhitthantheboys.Ourcontrolsforindividuals’potentiallyselective migration behaviour and for differences in school infrastructures do nothing to change our results. Our ﬁndings are also robust to controls for age misreporting and variations in the cohort cut-off point.",en
1491904,"Franck Bien, Sophie Méritet. Microéconomie : les défaillances de marché. Pearson, pp.288, 2014. &#x27E8;hal-01491904&#x27E9;",https://hal.science/hal-01491904,"Franck Bien, Sophie Méritet",Microéconomie : les défaillances de marché,2014,,Microéconomie : les défaillances de marché ,fr
1731425,"Emmanuelle Lavallée, François Roubaud. Corruption in the Informal Sector: Evidence from West Africa. The Journal of Development Studies, 2018, &#x27E8;10.1080/00220388.2018.1438597&#x27E9;. &#x27E8;hal-01731425&#x27E9;",https://hal.science/hal-01731425,"Emmanuelle Lavallée, François Roubaud",Corruption in the Informal Sector: Evidence from West Africa,2018,"Using a unique dataset, this paper analyses the causes and impacts of bribery in the informal sector in West Africa. It investigates the determinants of the incidence of bribery and the magnitude of the bribes actually paid. Our results show that the mechanisms at play are no different than those found for the formal sector by other authors. With respect to the impacts of corruption on a firm’s performance, our findings show that experience of corruption increases business performance, but that this effect is driven by just one category of informal firm: constrained gazelles.","Corruption in the Informal Sector: Evidence from West Africa Using a unique dataset, this paper analyses the causes and impacts of bribery in the informal sector in West Africa. It investigates the determinants of the incidence of bribery and the magnitude of the bribes actually paid. Our results show that the mechanisms at play are no different than those found for the formal sector by other authors. With respect to the impacts of corruption on a firm’s performance, our findings show that experience of corruption increases business performance, but that this effect is driven by just one category of informal firm: constrained gazelles.",en
